TransactionID,CustomerID,ProductID,TransactionDate,Quantity,TotalValue,Price_x,CustomerName,Region,SignupDate,ProductName,Category,Price_y
T00001,C0199,P067,2024-08-25 12:38:23,1,300.68,300.68,Andrea Jenkins,Europe,2022-12-03,ComfortLiving Bluetooth Speaker,Electronics,300.68
T00112,C0146,P067,2024-05-27 22:23:54,1,300.68,300.68,Brittany Harvey,Asia,2024-09-04,ComfortLiving Bluetooth Speaker,Electronics,300.68
T00166,C0127,P067,2024-04-25 07:38:55,1,300.68,300.68,Kathryn Stevens,Europe,2024-04-04,ComfortLiving Bluetooth Speaker,Electronics,300.68
T00272,C0087,P067,2024-03-26 22:55:37,2,601.36,300.68,Travis Campbell,South America,2024-04-11,ComfortLiving Bluetooth Speaker,Electronics,300.68
T00363,C0070,P067,2024-03-21 15:10:10,3,902.04,300.68,Timothy Perez,Europe,2022-03-15,ComfortLiving Bluetooth Speaker,Electronics,300.68
T00442,C0188,P067,2024-12-26 14:40:03,1,300.68,300.68,Anna Ball,South America,2022-05-17,ComfortLiving Bluetooth Speaker,Electronics,300.68
T00490,C0195,P067,2024-11-24 11:49:48,3,902.04,300.68,Jeremy Mclaughlin,South America,2024-09-17,ComfortLiving Bluetooth Speaker,Electronics,300.68
T00536,C0008,P067,2024-09-22 06:13:59,1,300.68,300.68,David Li,North America,2024-01-13,ComfortLiving Bluetooth Speaker,Electronics,300.68
T00564,C0157,P067,2024-12-07 17:57:40,3,902.04,300.68,Miguel Wong,North America,2024-01-30,ComfortLiving Bluetooth Speaker,Electronics,300.68
T00631,C0130,P067,2024-05-14 23:14:59,2,601.36,300.68,Robert Jones,South America,2023-04-19,ComfortLiving Bluetooth Speaker,Electronics,300.68
T00727,C0051,P067,2024-01-20 04:52:14,3,902.04,300.68,Nicholas Ellis,Europe,2023-12-21,ComfortLiving Bluetooth Speaker,Electronics,300.68
T00729,C0075,P067,2024-10-07 06:38:36,2,601.36,300.68,Misty Higgins,Europe,2023-05-01,ComfortLiving Bluetooth Speaker,Electronics,300.68
T00797,C0155,P067,2024-10-04 20:42:53,2,601.36,300.68,Michelle Brown,South America,2023-03-23,ComfortLiving Bluetooth Speaker,Electronics,300.68
T00002,C0092,P034,2024-12-16 03:31:07,2,434.1,217.05,Jacqueline Zamora,Asia,2024-05-29,HomeSense T-Shirt,Clothing,217.05
T00063,C0088,P034,2024-06-19 07:16:55,2,434.1,217.05,Carlos Murray,Asia,2023-05-14,HomeSense T-Shirt,Clothing,217.05
